"DigitizationNotes","recordingDate","recordingDigitalStatusValue","recordingDigitizer","recordingEventDescription","recordingEventRecordingNotes","recordingEventTitle","recordingFileSize","recordingLocation","recordingPermissions","recordingPFASeries","recordingTapeNumber","recordingTapeSide","FilmTitles","Speakers","lnfn"
"Tote 181-11","Tue Apr 29 00:00:00 PDT 1980","Analog tape","MediaPreserve",,,,,"PFA",,,378,,"THE HOUSE-OPENING|LORANG’S WAY","David MacDougall|Judith MacDougall","MacDougall, David|MacDougall, Judith"
"Tote 181-11","Fri May 02 00:00:00 PDT 1980","Analog tape","MediaPreserve",,,,,"PFA",,,380,,"THE SCANDALOUS ADVENTURES OF BURAIKAN|DOUBLE SUICIDE","Masahiro Shinoda","Shinoda, Masahiro"
"Tote 181-11","Sat May 03 00:00:00 PDT 1980","Analog tape","MediaPreserve",,,"ANIMATION FROM N.F.B. OF CANADA",,"PFA",,,381,,,"Derek Lamb","Lamb, Derek"
"Tote 181-11","Thu May 01 00:00:00 PDT 1980","Analog tape","MediaPreserve",,,,,"PFA",,,382,,,"Pauline Kael","Kael, Pauline"
"Tote 181-11","Tue Jun 03 00:00:00 PDT 1980","Analog tape","MediaPreserve",,,,,"PFA","Online plus in-house - Full access given",,383,,"PRIMAL FEAR","Anne Claire Poirer","Poirer, Anne Claire"
"Tote 181-11","Wed Jun 04 00:00:00 PDT 1980","Analog tape","MediaPreserve","Bob Rosen was dir. of UCLA Film Archive Orson Welles",,,,"PFA","unknown",,384,,"MACBETH","Bob Rosen","Rosen, Bob"
"Tote 181-11","Tue Jun 17 00:00:00 PDT 1980","Analog tape","MediaPreserve",,,,,"PFA",,,385,,"QUILTS IN WOMEN’S LIVES|BATTLE OF WESTLANDS","Pat Ferrero|Carol MonPere","Ferrero, Pat|MonPere, Carol"
"Tote 181-11","Fri Jun 20 00:00:00 PDT 1980","Analog tape","MediaPreserve",,,,,"PFA",,,386,,"92 IN THE SHADE","Thomas McGuane","McGuane, Thomas"
"Tote 181-11","Mon Nov 29 00:00:00 PST 1976","Analog tape","MediaPreserve",,,,,"PFA","unknown",,387,,,"Chantal Akerman","Akerman, Chantal"
"Tote 181-11","Tue Jun 24 00:00:00 PDT 1980","Analog tape","MediaPreserve",,,,,"PFA","Online plus in-house - Full access given",,388,,"VIA SOUND|HOME|MANA’S WORLD|NEW YORK STUDIES///VENEZIA///","Andrej Zdravic","Zdravic, Andrej"
"Tote 181-11","Tue May 06 00:00:00 PDT 1980","Analog tape","MediaPreserve",,,"TRAILERS",,"PFA",,,389,,"BUCK JONES SERIAL|RIDERS OF THE PURPLE SAGE|BAR 20 RIDES AGAIN","Alex Gordon","Gordon, Alex"
"Tote 181-11","Wed May 07 00:00:00 PDT 1980","Analog tape","MediaPreserve",,,,,"PFA",,,390,,"DRAGSTRIP GIRLS|GIRLS IN PRISON|This Was AIP: Trailers","Alex Gordon","Gordon, Alex"
"Tote 181-11","Fri May 09 00:00:00 PDT 1980","Analog tape","MediaPreserve",,,,,"PFA",,,391,,"VIETNAM: AN AMERICAN JOURNEY","Robert Richter","Richter, Robert"
"Tote 181-11","Tue May 13 00:00:00 PDT 1980","Analog tape","MediaPreserve",,,,,"PFA",,,392,,"CORRIGAN|HAVING RECOVERED|A CUP OF TEA|VIEW FROM REARDON|VISIT","Tim Bruce","Bruce, Tim"
"Tote 181-11","Tue Jul 22 00:00:00 PDT 1980","Analog tape","MediaPreserve",,,,,"PFA",,,393,,"WAX EXPERIMENTS|STAFFS|SPIRITUAL CONSTRUCTION|SPIRALS|STUDY #llA|VINKA|CIGARETTE ANIMATION|MURATTI MARCHES ON|SQUARES|COMPOSITION IN BLUE|TESTS|COLOR RHYTHM|RADIO DYNAMICS|ORGANIC FRAGMENT|MUTOSCOPE REELS|STUDY #3|STUDY #8|KREISE","Elfriede Fischinger","Fischinger, Elfriede"
"Tote 181-11","Mon Jul 21 00:00:00 PDT 1980","Analog tape","MediaPreserve",,,,,"PFA",,,394,,"MOULIN ROUGE|BELOVED ROGUE","William K. Everson","Everson, William K."
"Tote 181-11","Mon Jul 28 00:00:00 PDT 1980","Analog tape","MediaPreserve",,,,,"PFA",,,395,,"SHOOTING STARS|THURSDAY’S CHILD|HOLLYWOOD BLVD","William K. Everson","Everson, William K."
"Tote 181-11","Thu Jul 31 00:00:00 PDT 1980","Analog tape","MediaPreserve",,,,,"PFA",,,396,,"JUST PALS|HANGMAN’S HOUSE|FOUR SONS","William K. Everson","Everson, William K."
"Tote 181-11","Mon Sep 08 00:00:00 PDT 1980","Analog tape","MediaPreserve",,,,,"PFA",,,397,,"OBJECTIVE BURMA","Lester Cole|Michael Goodwin","Cole, Lester|Goodwin, Michael"
"Tote 181-11","Thu Sep 18 00:00:00 PDT 1980","Analog tape","MediaPreserve",,,,,"PFA",,,398,,"TRIALS OF ALGER HISS","John Lowenthal","Lowenthal, John"
"Tote 181-11","Fri Sep 26 00:00:00 PDT 1980","Analog tape","MediaPreserve",,,,,"PFA",,,399,,"LAST OF THE BLUE DEVILS","Bruce Ricker","Ricker, Bruce"
"Tote 181-11","Tue Oct 07 00:00:00 PDT 1980","Analog tape","MediaPreserve",,,"SECRETS OF THE FILM ARCHIVE",,"PFA","Online plus in-house - Full access given",,401,,,"Eileen Bowser","Bowser, Eileen"
"Tote 181-11","Tue Oct 14 00:00:00 PDT 1980","Analog tape","MediaPreserve",,,,,"PFA",,,402,,"NIGHTS OF CABIRIA","Albert Johnson","Johnson, Albert"
"Tote 181-11","Tue Oct 21 00:00:00 PDT 1980","Analog tape","MediaPreserve",,,,,"PFA",,,403,,"AMERICAN TORSO","Gábor Bódy","Bódy, Gábor"
"Tote 181-11","Wed Oct 22 00:00:00 PDT 1980","Analog tape","MediaPreserve",,,,,"Wheeler Auditorium","no form given",,404,,"LIFE AND TIMES OF ROSIE THE RIVETER","Connie Field","Field, Connie"
"Tote 181-11","Fri Oct 24 00:00:00 PDT 1980","Analog tape","MediaPreserve",,,,,"PFA",,,405,,"BADLANDS|OUT OF IT","Edward Pressman","Pressman, Edward"
"Tote 181-11","Mon Oct 27 00:00:00 PST 1980","Analog tape","MediaPreserve",,,,,"PFA",,,406,,"EL SALVADOR: REVOLUTION OR DEATH|NICARAGUA 1979 SCENES FROM THE REVOLUTION","John Chapman","Chapman, John"
"Tote 181-11","Wed Nov 12 00:00:00 PST 1980","Analog tape","MediaPreserve",,,,,"PFA","Online plus in-house - Full access given",,407,,"TAKING BACK DETROIT","Stephen Lighthill","Lighthill, Stephen"
"Tote 23-12","Mon Oct 06 00:00:00 PDT 1980","Analog tape","MediaPreserve","An interpreter does live translation of this Italian film(1959, by Roberto Rossellini) . From the UCB Language Laboratory. ","There is a copy of this tape as well. ",,,"PFA","unknown",,408,,"INDIA: Matri Bhumi","Gil Rossellini","Rossellini, Gil"
"Tote 181-11","Sun Jul 06 00:00:00 PDT 1980","Analog tape","MediaPreserve",,,"FATTY ARBUCKLE TRIBUTE",,"PFA",,,409,,"WILD AND WOOLEY","William K. Everson","Everson, William K."
"Tote 181-11","Mon Jul 07 00:00:00 PDT 1980","Analog tape","MediaPreserve",,,,,"PFA",,,410,,"ARE PARENTS PEOPLE?|WOMAN OF THE WORLD|ORCHIDS AND ERMINE","William K. Everson","Everson, William K."
"Tote 181-11","Mon Jul 14 00:00:00 PDT 1980","Analog tape","MediaPreserve",,,"MOVIES OUT OF THIN AIR",,"PFA",,,411,,,"William K. Everson","Everson, William K."
"Tote 181-11","Sat Jul 05 00:00:00 PDT 1980","Analog tape","MediaPreserve",,,,,"PFA",,,412,,"HOLIDAY FOR HENRIETTE|HOLIDAY CAMP","William K. Everson","Everson, William K."
"Tote 181-11","Thu Jan 22 00:00:00 PST 1981","Analog tape","MediaPreserve",,,,,"PFA",,,413,,"HOLI","Bastian Cleve","Cleve, Bastian"
"Tote 181-11","Tue Jan 13 00:00:00 PST 1981","Analog tape","MediaPreserve",,,,,"PFA",,,414,,"IMPATIENT MAIDENS|WHILE PARIS SLEEPS|HIS WOMAN","William K. Everson","Everson, William K."
"Tote 181-11","Tue Dec 02 00:00:00 PST 1980","Analog tape","MediaPreserve",,,,,"PFA",,,415,,"STIIL MOVIE|PRAEPARAT|LIKE THE TRAIN IS PASSING|CORRESPONDENCE|HELIOGRAPHY|SUMMER IS GONE","Takahiko Iimura","Iimura, Takahiko"
"Tote 181-11","Thu Jan 15 00:00:00 PST 1981","Analog tape","MediaPreserve",,,,,"PFA",,,416,,"CISCO KID|THUNDER TRAILS","William K. Everson","Everson, William K."
"Tote 181-11","Wed Jan 14 00:00:00 PST 1981","Analog tape","MediaPreserve","Robert Vaughn on Piano",,,,"PFA","unknown",,418,,"A KISS FOR CINDERELLA","William K. Everson|Robert Vaughn","Everson, William K.|Vaughn, Robert"
"Tote 181-11","Tue Dec 16 00:00:00 PST 1980","Analog tape","MediaPreserve",,,,,"PFA",,,419,,"LIGHTNING OVER WATER","Wim Wenders","Wenders, Wim"
"Tote 181-11","Mon Dec 01 00:00:00 PST 1980","Analog tape","MediaPreserve",,,,,"PFA",,,420,,"LE CHEMIN PERDU","Patricia Moraz","Moraz, Patricia"
"Tote 181-11","Wed Nov 26 00:00:00 PST 1980","Analog tape","MediaPreserve",,,,,"PFA","Online plus in-house - Full access given",,421,,"CRAZY|THE WHOLE LIFE IS CRAZY|AND ABOUT MY VOYAGES","Petra Haffter","Haffter, Petra"
"Tote 181-11","Tue Jan 27 00:00:00 PST 1981","Analog tape","MediaPreserve",,,,,"PFA",,,422,,"RODEO|PERILS OF PRISCILLA|CRYSTALLIZATION|PIGS|WAITING FOR MAY|SEEMS LIKE ONLY YESTERDAY","Carroll Ballard","Ballard, Carroll"
"Tote 181-11","Tue Feb 17 00:00:00 PST 1981","Analog tape","MediaPreserve",,,,,"PFA",,,423,,"ESTUARY|CLOUD FRAGMENTS|SEA SHORE","Chris Welsby","Welsby, Chris"
"Tote 181-11","Sat Jan 31 00:00:00 PST 1981","Analog tape","MediaPreserve",,,,,"PFA","Online plus in-house - Full access given",,424,,"CONFIDENCE|Father","István Szabó","Szabó, István"
"Tote 181-11","Tue Mar 03 00:00:00 PST 1981","Analog tape","MediaPreserve","Speakers belong to Godmother Productions",,,,"PFA","unknown",,425,,"TELL ME A RIDDLE","Mindy Affrime|Rachel Lyon|Susan O’Connell","Affrime, Mindy|Lyon, Rachel|O’Connell, Susan"
"Tote 181-11","Mon Mar 02 00:00:00 PST 1981","Analog tape","MediaPreserve",,"Tape 1 of 4",,,"PFA",,,426,,"DIE NIBELUNGEN: SIEGFRIED","Enno Patalas","Patalas, Enno"
"This is the B-side of the same tape 429","Wed Mar 04 00:00:00 PST 1981","Analog tape","MediaPreserve",,,"FRITZ LANG",,"PFA",,,429,"B","SPIES","Enno Patalas","Patalas, Enno"
"Tote 181-11","Fri Feb 27 00:00:00 PST 1981","Analog tape","MediaPreserve",,,,,"PFA",,,430,"A","THE COLD EYE|(MY DARLING BE CAREFUL)","Babette Mangolte","Mangolte, Babette"
"This is the B-side of the same tape 430","Fri Apr 03 00:00:00 PST 1981","Analog tape","MediaPreserve",,,,,"PFA","Online plus in-house - Full access given",,430,"B","THE SPRING RIVER FLOWS EAST PART I|THE SPRING RIVER FLOWS EAST PART II","Steve Horowitz","Horowitz, Steve"
"Tote 181-11","Wed Mar 18 00:00:00 PST 1981","Analog tape","MediaPreserve",,,,,"PFA","unknown",,431,,"LE ROSE ET LE BLANC","Robert Pansard-Besson","Pansard-Besson, Robert"
"Tote 181-11","Tue Mar 24 00:00:00 PST 1981","Analog tape","MediaPreserve",,,,,"PFA","Online plus in-house - Full access given",,432,,"YOJIMIBO|CONFLAGRATION","Kazuo Miyagawa","Miyagawa, Kazuo"
"Tote 181-11","Thu Mar 26 00:00:00 PST 1981","Analog tape","MediaPreserve",,,,,"PFA",,,433,,"THE HAUNTING OF M","Anna Thomas","Thomas, Anna"
"Tote 181-11","Wed Apr 01 00:00:00 PST 1981","Analog tape","MediaPreserve","Albert Johnson, host",,,,"PFA",,,434,,"PURSUED","Albert Johnson|Niven Busch","Johnson, Albert|Busch, Niven"
"Tote 181-11","Tue Nov 18 00:00:00 PST 1980","Analog tape","MediaPreserve","Translation",,,,"PFA","unknown",,436,,"PASTORAL","Pascal Aubier","Aubier, Pascal"
"Tote 181-11","Thu Nov 20 00:00:00 PST 1980","Analog tape","MediaPreserve",,,,,"PFA",,,437,,"A MATTER OF DESTINY","Helga Reidrniester","Reidrniester, Helga"
"Tote 181-11","Sat Apr 04 00:00:00 PST 1981","Analog tape","MediaPreserve",,,,,"PFA",,,439,,"EXPOSURE|CRIMINAL|CONSERVATION|BENEFICIARY|OVER HERE|ON A PAVING STONE MOUNTAIN","Kevin Rockett","Rockett, Kevin"
"Tote 181-11","Thu Apr 09 00:00:00 PST 1981","Analog tape","MediaPreserve",,,,,"PFA",,,440,,"LAMENT FOR ART O’LEARY POTEEN|CHRISTIMAS MORNING|WHEELS|KINKISHA|IT’S HANDY|WHEN PEOPLE DON’T DIE|EMTIGON|WITHDRAWAL|DOWN THE CORNER","Kevin Rockett","Rockett, Kevin"
"Tote 181-11","Tue Mar 10 00:00:00 PST 1981","Analog tape","MediaPreserve",,,,,"PFA",,,441,"A","BEAUTY BECOMES THE BEAST|SHE HAD HER GUN ALREADY","Vivienne Dick","Dick, Vivienne"
"This is the B-side of the same tape 441","Thu Apr 16 00:00:00 PST 1981","Analog tape","MediaPreserve",,,,,"PFA",,,441,"B","WILLIE BUSCH REPORT","Niklaus Schilling","Schilling, Niklaus"
"Tote 181-11","Tue Apr 28 00:00:00 PDT 1981","Analog tape","MediaPreserve","Albert Johnson, host",,"PAUL ROBESON: TRIBUTE TO AN ARTIST",,"DWINELLE","unknown",,442,,"BODY & SOUL","Albert Johnson|Paul Robeson, Jr.","Johnson, Albert|Jr., Paul Robeson,"
"Tote 181-11","Thu May 07 00:00:00 PDT 1981","Analog tape","MediaPreserve",,,,,"PFA","Online plus in-house - Full access given",,443,,"STAGEFRIGHT|GODARD ‘80","Jon Jost","Jost, Jon"
"Tote 181-11","Sat Dec 13 00:00:00 PST 1980","Analog tape","MediaPreserve",,,,,"PFA","online plus in-house - Full access given",,444,,"SPROUT WINGS AND FLY|THE POLKA FILM|HERZOG GOES PERU","Les Blank|Maureen Gosling","Blank, Les|Gosling, Maureen"
"Tote 181-11","Tue Feb 03 00:00:00 PST 1981","Analog tape","MediaPreserve",,,"TRIBUTE TO LEN LYE (SHORTS)",,"PFA",,,445,,,"Roger Horrochs","Horrochs, Roger"
"Tote 181-11","Wed Apr 29 00:00:00 PDT 1981","Analog tape","MediaPreserve",,,,,"PFA","Online plus in-house - Full access given",,446,,"REPEATER","Chris Monger","Monger, Chris"
"Tote 181-11","Tue May 05 00:00:00 PDT 1981","Analog tape","MediaPreserve",,,,,"PFA","Online plus in-house - Full access given",,447,,"THE CANDIDATE|DRIVE, HE SAID","Jeremy Larner","Larner, Jeremy"
"Tote 181-11","Sat May 16 00:00:00 PDT 1981","Analog tape","MediaPreserve",,,,,"PFA",,,448,"A","BLUES LIKE SHOWERS OF RAIN|JAZZ IS OUR RELLGION|ST. LOUIS BLUES|BLACK & TAN|AFTER HOURS","John Jeremy","Jeremy, John"
"Tote 181-11","Thu May 21 00:00:00 PDT 1981","Analog tape","MediaPreserve",,,,,"PFA","Online plus in-house - Full access given",,449,,"NOTHING TO LOSE","Jo Menell","Menell, Jo"
"Tote 181-11","Sat May 23 00:00:00 PDT 1981","Analog tape","MediaPreserve","plus film clips",,,,"PFA",,,450,,"JASON AND THE ARGONAUTS","Ray Harryhausen","Harryhausen, Ray"
"Tote 181-11","Tue Jun 02 00:00:00 PDT 1981","Analog tape","MediaPreserve","Albert Johnson, host",,,,"PFA",,,451,,"WHO’LL STOP THE RAIN|ROAD MOVIE","Albert Johnson|Judith Rascoe","Johnson, Albert|Rascoe, Judith"
"Tote 181-11","Wed Jun 03 00:00:00 PDT 1981","Analog tape","MediaPreserve","Albert Johnson, host",,,,"PFA",,,452,,"THE SHINING","Albert Johnson|Diane Johnson","Johnson, Albert|Johnson, Diane"
"Tote 181-11","Fri Jun 19 00:00:00 PDT 1981","Analog tape","MediaPreserve",,,,,"PFA","Online plus in-house - Full access given",,453,,"THE BEATS: AN EXISTENTIAL COMEDY|PULL MY DAISY","Jay Kugelman","Kugelman, Jay"
"Tote 181-11","Tue Jun 23 00:00:00 PDT 1981","Analog tape","MediaPreserve",,,"DUTCH EXPERIMENTAL FILMS",,"PFA","Online plus in-house - Full access given",,454,,,"Peter Rubin","Rubin, Peter"
"Tote 181-11","Wed Jul 08 00:00:00 PDT 1981","Analog tape","MediaPreserve",,,,,"PFA","Online plus in-house - Full access given",,455,,"A SUNDAY IN HELL|GOOD AND EVIL","Jørgen Leth","Leth, Jørgen"
"Tote 181-11","Tue Jul 14 00:00:00 PDT 1981","Analog tape","MediaPreserve",,,,,"PFA",,,456,,"PADDY|AMATEUR DADDY|DEVIL’S LOTTERY","William K. Everson","Everson, William K."
"Tote 181-11","Thu Jul 16 00:00:00 PDT 1981","Analog tape","MediaPreserve",,,"An Anna Neagle Evening",,"PFA",,,457,,"NELL GWYN|SPRING IN PARK LANE","William K. Everson","Everson, William K."
"Tote 181-11","Mon Jul 20 00:00:00 PDT 1981","Analog tape","MediaPreserve",,,,,"PFA",,,458,,"CATHERINE|LA P’TITE LILI|THE MILKY WAY|TIGER ROSE","William K. Everson","Everson, William K."
"Tote 181-11","Thu Aug 13 00:00:00 PDT 1981","Analog tape","MediaPreserve",,,,,"PFA",,,459,,"OVER-UNDER, SIDEWAYS-DOWN","Eugene Corr","Corr, Eugene"
"Tote 101-2","Tue Dec 08 00:00:00 PST 1981","Analog tape","MediaPreserve",,"12/7/82 Cont'd, 12/8/82","GERMAN EXPERIMENTAL FILMS",,"PFA",,,476,,,"Ingo Petzke","Petzke, Ingo"
"Tote 101-2","Tue Dec 08 00:00:00 PST 1981","Analog tape","MediaPreserve",,,"GERMAN EXPERIMENTAL FILMS FROM THE '20'S TO 1968",,"PFA",,,477,,,"Ingo Petzke","Petzke, Ingo"
"Tote 101-2","Thu Dec 10 00:00:00 PST 1981","Analog tape","MediaPreserve",,,,,"PFA",,,478,,"CHAN IS MISSING","Wayne Wang","Wang, Wayne"
"Tote 101-2","Sat Jan 09 00:00:00 PST 1982","Analog tape","MediaPreserve",,,,,"PFA",,,479,,"PELICULA O MUERTE","Les Blank|Maureen Gosling|Michael Goodwin","Blank, Les|Gosling, Maureen|Goodwin, Michael"
"Tote 101-2","Wed Jan 13 00:00:00 PST 1982","Analog tape","MediaPreserve",,,,,"PFA",,,480,,"KLASH STRUGGLES","Ray Keating","Keating, Ray"
"Tote 101-2","Thu Jan 14 00:00:00 PST 1982","Analog tape","MediaPreserve",,,"Films on the Disabled",,"PFA","unknown",,481,,"FEELING GOOD, FEELING PROUD","Richard Heuss","Heuss, Richard"
"Tote 101-2","Fri Jan 15 00:00:00 PST 1982","Analog tape","MediaPreserve",,,,,"PFA",,,482,,"CONVERSATIONS WITH WILLARD VAN DYKE","Amalie Rothschild","Rothschild, Amalie"
"Tote 101-2","Tue Jan 26 00:00:00 PST 1982","Analog tape","MediaPreserve",,,,,"PFA",,,483,,"UNDERGROUND|QUIET WEDDING|WE DIVE AT DAWN","William K. Everson","Everson, William K."
"Tote 101-2","Thu Jan 28 00:00:00 PST 1982","Analog tape","MediaPreserve",,,"A D.W. Griffith Evening",,"PFA",,,484,,"The Sorrows of Satan|The Greatest Question|The Love Flower","William K. Everson","Everson, William K."
"Tote 101-2","Fri Dec 04 00:00:00 PST 1981","Analog tape","MediaPreserve",,,,,"PFA","Online plus in-house - Full access given",,485,,"UNCLE VANYA","Andrei Mikhalkov Konchalovsky","Konchalovsky, Andrei Mikhalkov"
"Tote 101-2","Sat Dec 05 00:00:00 PST 1981","Analog tape","MediaPreserve",,,,,"PFA","Online plus in-house - Full access given",,486,,"SLAVE OF LOVE","Andrei Mikhalkov Konchalovsky","Konchalovsky, Andrei Mikhalkov"
"Tote 101-2","Wed Feb 03 00:00:00 PST 1982","Analog tape","MediaPreserve",,,,,"Wheeler Auditorium","unknown",,490,,"MISSING","Costa-Gavras Gavras|Edward Lewis|Mildred Lewis","Gavras, Costa-Gavras|Lewis, Edward|Lewis, Mildred"
"Tote 101-2","Thu Feb 11 00:00:00 PST 1982","Analog tape","MediaPreserve",,,,,"PFA","Online plus in-house - Full access given",,491,,"CITYSCAPE SERIES","John Dunkley-Smith","Dunkley-Smith, John"
"Tote 101-2","Wed Feb 24 00:00:00 PST 1982","Analog tape","MediaPreserve",,,,,"PFA","Online plus in-house - Full access given",,492,,"LAST YEARS OF CHILDHOOD","Norbert Kuckelmann","Kuckelmann, Norbert"
"Tote 101-2","Thu Feb 25 00:00:00 PST 1982","Analog tape","MediaPreserve",,,,,"PFA",,,493,"A","DIVIDED LOYALTIES|NOBLESSE OBLIGE","Warren Sonbert","Sonbert, Warren"
"This is the B-side of the same tape 493","Thu Feb 25 00:00:00 PST 1982","Analog tape","MediaPreserve",,,,,"PFA",,,493,"B","PERSONAL BEST","Robert Towne|Mariel Hemingway","Towne, Robert|Hemingway, Mariel"
"Tote 101-2","Tue Mar 09 00:00:00 PST 1982","Analog tape","MediaPreserve",,,,,"PFA","Online plus in-house - Full access given",,494,,"SHADOW OF A DOUBT","William Rothman","Rothman, William"
"Tote 101-2","Tue Mar 09 00:00:00 PST 1982","Analog tape","MediaPreserve",,"3/09/82 cont’d.",,,"PFA","Online plus in-house - Full access given",,495,,"SHADOW OF A DOUBT","William Rothman","Rothman, William"
"Tote 101-2","Fri Mar 12 00:00:00 PST 1982","Analog tape","MediaPreserve",,,,,"PFA",,,496,,"IT CANT BE WINTER WE HAVENT HAD SUMMER YET","Louise Carre","Carre, Louise"
"Tote 101-2","Sat Mar 13 00:00:00 PST 1982","Analog tape","MediaPreserve",,,,,"PFA","Online plus in-house - Full access given",,497,,"CORDELIA","Jean Beaudin","Beaudin, Jean"
"Tote 101-2","Sun Apr 04 00:00:00 PST 1982","Analog tape","MediaPreserve",,,,,"PFA","Online plus in-house - Full access given",,498,,"LONG SHOT|PRAISE MARX AND PASS THE AMMUNITION","Maurice Hatton","Hatton, Maurice"
"Tote 101-2","Wed Apr 14 00:00:00 PST 1982","Analog tape","MediaPreserve",,,,,"Wheeler Auditorium",,,499,,"CHANNELS/INSERTS","Merce Cunningham","Cunningham, Merce"
"Tote 101-2","Sat Oct 16 00:00:00 PDT 1976","Analog tape","MediaPreserve","Broadcast on KPFA Interview-Radio. ","Tape 1 of 2. Originally broadcast on KPFA. Recorded by Shebar Windstone in New York, NY. Some speed distortion. Taped with weak batteries. ","Life and Work of Susan Sontag: an Interview",,"PFA","unknown",,500,,,"Susan Sontag","Sontag, Susan"
"Tote 101-2","Tue Oct 16 00:00:00 PDT 1979","Analog tape","MediaPreserve","Broadcast on KPFA Interview-Radio","Tape 2 of 2. Originally broadcast on KPFA. Recorded by Shebar Windstone in New York, NY. Includes some speed distortion, because was originally taped with weak batteries. ",,,"PFA","unknown",,501,,,"Susan Sontag","Sontag, Susan"
"Tote 101-2","Fri Nov 30 00:00:00 PST 1979","Analog tape","MediaPreserve","Morrison Collection (Summer 1980)",,,,"PFA",,,502,,,"William K. Everson","Everson, William K."
"Tote 101-2","Sun Nov 30 00:00:00 PST 1980","Analog tape","MediaPreserve","Brandon Collection (Summer 1981)",,,,"PFA",,,503,,,"William K. Everson","Everson, William K."
"Tote 101-2","Fri Nov 12 00:00:00 PST 1976","Analog tape","MediaPreserve",,,,,"PFA","unknown",,504,,"PLOW THAT BROKE THE PLAINS","Pare Lorentz","Lorentz, Pare"
"Tote 101-2","Wed Feb 01 00:00:00 PST 1978","Analog tape","MediaPreserve",,,,,"PFA","Online plus in-house - Full access given",,509,,"MILESTONES","Robert Kramer","Kramer, Robert"
"Tote 101-2","Fri Feb 03 00:00:00 PST 1978","Analog tape","MediaPreserve",,,,,"PFA","Online plus in-house - Full access given",,510,,"SCENES FROM THE CLASS STRUGGLE IN PORTUGAL","Robert Kramer","Kramer, Robert"
"Tote 101-2","Wed Nov 10 00:00:00 PST 1976","Analog tape","MediaPreserve",,,,,"PFA","unknown",,511,,"NUREMBERG TRIALS","Pare Lorentz","Lorentz, Pare"
"Tote 101-2","Mon Nov 08 00:00:00 PST 1976","Analog tape","MediaPreserve",,,,,"Wheeler","unknown",,512,,"FIGHT FOR LIFE","Pare Lorentz","Lorentz, Pare"
"Tote 101-2","?","Analog tape","MediaPreserve",,"Tape 1 of 2","An interview in Tokyo on the subject of American Independent film.",,,"unknown",,514,,,"Donald Richie|Sheldon Renan|Toshio Matsumato","Richie, Donald|Renan, Sheldon|Matsumato, Toshio"
"Tote 101-2","?","Analog tape","MediaPreserve",,"Tape 2 of 2","An interview in Tokyo on the subject of American Independent film.",,,"unknown",,513,,,"Donald Richie|Sheldon Renan|Toshio Matsumato","Richie, Donald|Renan, Sheldon|Matsumato, Toshio"
"Tote 101-2","Wed Feb 04 00:00:00 PST 1976","Analog tape","MediaPreserve",,,,,"Wheeler Auditorium","unknown",,515,,"THIEVES LIKE US|THE FRONTIER EXPERIENCE","Shelley Duvall","Duvall, Shelley"
"Tote 101-2","Sun Dec 19 00:00:00 PST 1976","Analog tape","MediaPreserve",,"air date","KFRC radio interview in San Francisco",,"PFA","unknown",,516,,,"Kenneth Anger","Anger, Kenneth"
"Tote 101-2","Fri Nov 24 00:00:00 PST 1978","Analog tape","MediaPreserve",,,,,"PFA","unknown",,517,,"CRIME AND PUNISHMENT U. S A.|INVASION OF THE BEE GIRLS","Denis Sanders","Sanders, Denis"
"Tote 101-2",,"Analog tape","MediaPreserve","The films of Rubbo were also shown at the archive 02/79",,"An interview with the documentary filmmaker by Paul Freiberger for National Public Radio.",,"PFA","unknown",,518,,,"Michael Rubbo","Rubbo, Michael"
"Tote 101-2","Tue Nov 25 00:00:00 PST 1980","Analog tape","MediaPreserve","Music by Erik Satie",,"The Italian Straw Hat (plus experimental shorts)",,"PFA","unknown",,519,,"ENTR’ACTE","Erik Satie","Satie, Erik"
"Tote 101-2","Fri Feb 05 00:00:00 PST 1982","Analog tape","MediaPreserve",,,"VAUDEVILLE ON FILM",,"PFA","Online plus in-house - Full access given",,520,,,"Anthony Slide","Slide, Anthony"
"Tote 101-2","Tue Mar 02 00:00:00 PST 1982","Analog tape","MediaPreserve",,,,,"PFA","Online plus in-house - Full access given",,521,,"MEMORY OF HELEN","David Neves","Neves, David"
"Tote 101-2","Wed Mar 03 00:00:00 PST 1982","Analog tape","MediaPreserve",,,,,"Wheeler","Online plus in-house - Full access given",,522,,"ITS NICE TO MEET YOU|Luz del Fuego","David Neves","Neves, David"
"Tote 101-2","Sat Mar 20 00:00:00 PST 1982","Analog tape","MediaPreserve",,,"UCLA Film Archives Tribute",,"PFA","Online plus in-house - Full access given",,523,,"DEVIL AND MISS JONES|HISTORY IS MADE AT NIGHT","Robert Gitt","Gitt, Robert"
"Tote 101-2","Wed Mar 24 00:00:00 PST 1982","Analog tape","MediaPreserve",,,"HIS NIBS, & EARLY COLOR, & SOUND SHORTS, TEMPEST",,"PFA","Online plus in-house - Full access given",,524,,"TEMPEST|His Nibs","Robert Gitt","Gitt, Robert"
"Tote 101-2","Tue Apr 06 00:00:00 PST 1982","Analog tape","MediaPreserve",,,,,"PFA",,,525,,"TIGHTEN YOUR BELTS|BITE THE BULLET","Martin Lucas","Lucas, Martin"
"Tote 101-2","Tue Apr 27 00:00:00 PDT 1982","Analog tape","MediaPreserve",,,,,"PFA","Online plus in-house - Full access given",,526,,"FREAK ORLANDO|TICKET OF NO RETURN","Ulrike Ottinger","Ottinger, Ulrike"
